osm_id;lines_id;types;voltage;cables;wires;circuits;node_from;station_from;node_from_lon;node_from_lat;node_to;station_to;node_to_lon;node_to_lat;length_km
1123859953-1_0;L96;line;130.0;3;single;1;GBG8;71;11.9000524;57.7432722;GBG2;65;11.9200289;57.7681214;3.1262300251366857
1123859962-1_0;L97;line;130.0;3;single;1;KUN3;82;11.9778705;57.8782543;KUN2;81;11.917991;57.87836;4.371962216467496
1124740986-1_0;L98;line;130.0;3;single;1;LER1;77;12.316197;57.8024889;LER2;78;12.2482897;57.7870471;4.945039526127042
1124961993-1_0;L99;line;130.0;3;single;1;GBG8;71;11.8657101;57.7364368;GBG10;73;11.8308437;57.7336152;2.217446468912449
88144233-1_0;L100;line;130.0;6;double;2;TRO3;17;12.2407942;58.2804638;TRO1;15;12.2789859;58.275936;2.315070585400399
88145945-1_0;L101;line;130.0;3;single;1;STE1;88;11.8474223;58.0876091;TRO3;17;12.2374372;58.2808478;32.464867851928496
89270462-1_0;L102;line;130.0;3;single;1;TRO3;17;12.1921135;58.3027001;UDD1;85;11.9971511;58.3463981;12.635093381843227
89270481-1_0;L103;line;130.0;3;single;1;LYS1;98;11.4234197;58.3379807;TRO3;17;12.1922991;58.3028394;63.06888762911568
288654849-1_0;L104;line;130.0;3;single;1;LYS2;99;11.4719532;58.3273543;MUN1;92;11.5724489;58.4801665;18.883017025636548
358165479-1_0;L105;line;130.0;3;single;1;UDD3;87;11.9369323;58.4050066;UDD2;86;11.9076725;58.3576569;6.849149203299444
433816198-1_0;L106;line;130.0;3;single;1;ORU1;89;11.6322293;58.1620658;ORU2;90;11.8458761;58.158437;13.978793057026031
447103650-1_0;L107;line;130.0;3;single;1;UDD1;85;11.9970879;58.3463147;TRO3;17;12.2142743;58.283459;15.011241286796439
1121671577-1_0;L108;line;130.0;3;single;1;TRO4;18;12.2418628;58.3201043;TRO3;17;12.2374567;58.2810315;4.474347699806722
1121936105-1_0;L109;line;130.0;3;single;1;UDD1;85;11.9972142;58.3464816;UDD3;87;11.936772;58.4052454;8.775052393587785
1122189363-1_0;L110;line;130.0;3;single;1;ORU2;90;11.8561654;58.1570734;STE1;88;11.8647083;58.0926281;9.310125859213628
189595515-1_0;L111;line;130.0;3;single;1;UDD3;87;11.936772;58.4052454;MUN1;92;11.5985077;58.4869543;24.00341876958784
288469028-1_0;L112;line;130.0;3;single;1;MUN1;92;11.5983413;58.486979;TAN3;102;11.4418414;58.6041883;16.50120868574412
96890569-1_0;L113;line;130.0;3;single;1;DAL4;97;11.7708582;58.8741703;STR1;104;11.3970797;58.8785953;22.950868817867573
307309048-1_0;L114;line;130.0;3;single;1;DAL2;95;11.9351917;58.8919571;DAL1;94;11.8079767;58.8815028;7.618095965554754
667786285-1_0;L115;line;130.0;6;double;2;DAL4;97;11.7708582;58.8741703;DAL3;96;11.7384034;58.8378808;5.330758730705869
667786286-1_0;L116;line;130.0;3;single;1;DAL1;94;11.8077252;58.8815021;DAL4;97;11.7708582;58.8741703;2.483891655038947
1121936111-1_0;L117;line;130.0;3;single;1;LYS1;98;11.4235773;58.337945;LYS2;99;11.4719532;58.3273543;3.3092553879214583
358703090-1_0;L118;line;130.0;3;single;1;TAN2;101;11.3435768;58.7182452;TAN4;103;11.4002529;58.717353;3.5988324597664993
751226151-1_0;L119;line;130.0;3;single;1;TAN3;102;11.4418414;58.6041883;TAN1;100;11.3765719;58.7591572;17.815864387053832
751226153-1_0;L120;line;130.0;3;single;1;TAN1;100;11.3765719;58.7591572;STR3;106;11.3326473;58.8872936;14.523059699984335
307309043-1_0;L121;line;130.0;6;double;2;STR2;105;11.310238;58.9433849;STR3;106;11.3326473;58.8872936;6.428021675240497
307309047-1_0;L122;line;130.0;3;single;1;STR3;106;11.3326473;58.8872936;STR1;104;11.3964065;58.8787118;3.925247326026152
