bus_id;station_id;node_id;voltage;symbol;substation;import_trans;KnKod;KnNamn;municipality;lon;lat;vor_id;area_m2
74;68;GBG4;132.0;substation;transmission;False;1480;Göteborg;Goteborg;12.0288;57.7844;100;20099101.5410102
75;69;GBG5;132.0;substation;transmission;False;1480;Göteborg;Goteborg;11.8826;57.7096;20;18821134.88685865
76;70;GBG6;132.0;substation;transmission;False;1480;Göteborg;Goteborg;11.9678;57.5867;10;19212592.737154204
77;71;GBG7;132.0;substation;transmission;False;1480;Göteborg;Goteborg;11.8798;57.7359;19;20874270.431303535
78;72;GBG8;132.0;substation;transmission;False;1480;Göteborg;Goteborg;11.9499;57.6443;76;39049067.70043462
79;73;GBG9;132.0;substation;transmission;False;1480;Göteborg;Goteborg;11.8308;57.7335;21;39423605.77267451
80;74;GBG10;132.0;substation;transmission;False;1480;Göteborg;Goteborg;12.1235;57.7734;99;53681821.04817849
81;75;GBG11;132.0;substation;transmission;False;1480;Göteborg;Goteborg;12.071;57.7688;103;25466841.53457672
82;76;GBG12;132.0;substation;transmission;False;1480;Göteborg;Goteborg;12.0488;57.8075;101;30250959.755678385
83;77;LER1;130.0;substation;transmission;False;1441;Lerum;Lerum;12.3183;57.8018;59;150069347.7168383
84;77;LER2;132.0;substation;transmission;True;1441;Lerum;Lerum;12.3193;57.8028;43;194611506.06482583
85;78;LER3;132.0;substation;transmission;False;1441;Lerum;Lerum;12.2479;57.7874;107;163760684.01300076
86;79;HAR1;132.0;substation;transmission;False;1401;Härryda;Harryda;12.1166;57.6695;102;70912685.1271685
87;80;KUN1;132.0;substation;transmission;False;1482;Kungälv;Kungalv;12.0131;57.8553;77;38260396.46771781
88;81;KUN2;132.0;substation;transmission;False;1482;Kungälv;Kungalv;11.9131;57.8766;22;167678540.310707
89;82;KUN3;132.0;substation;transmission;False;1482;Kungälv;Kungalv;11.9782;57.8782;54;73541800.76793598
90;83;KUN4;132.0;substation;transmission;False;1482;Kungälv;Kungalv;12.0956;57.9368;78;231078767.58001307
91;84;PAR1;132.0;substation;transmission;False;1402;Partille;Partille;12.1412;57.738;104;54054121.29286599
92;85;UDD1;132.0;substation;transmission;False;1485;Uddevalla;Uddevalla;11.9969;58.3464;46;257229191.84933296
93;86;UDD2;132.0;substation;transmission;False;1485;Uddevalla;Uddevalla;11.9075;58.3577;23;195777215.77813983
94;87;UDD3;132.0;substation;transmission;False;1485;Uddevalla;Uddevalla;11.9369;58.4052;41;452517812.44376713
95;88;STE1;132.0;substation;transmission;False;1415;Stenungsund;Stenungsund;11.8481;58.0875;27;189549011.86824775
96;89;ORU1;132.0;substation;transmission;False;1421;Orust;Orust;11.632;58.162;108;231502945.51302743
97;90;ORU2;132.0;substation;transmission;False;1421;Orust;Orust;11.851;58.1578;109;114452806.10869718
98;91;LIL1;132.0;substation;transmission;False;1462;Lilla Edet;Lilla Edet;12.133;58.1179;64;366023991.03236055
99;92;MUN1;132.0;substation;transmission;False;1430;Munkedal;Munkedal;11.5964;58.4865;26;499450560.95465225
101;94;DAL1;132.0;substation;transmission;False;1438;Dals-Ed;Dals-Ed;11.8079;58.8815;5;273910769.75862384
102;95;DAL2;132.0;substation;transmission;False;1438;Dals-Ed;Dals-Ed;11.9345;58.8924;24;862021104.502647
103;96;DAL3;132.0;substation;transmission;True;1438;Dals-Ed;Dals-Ed;11.7364;58.8374;25;412603514.4594252
104;97;DAL4;132.0;substation;transmission;False;1438;Dals-Ed;Dals-Ed;11.7709;58.8742;6;111261843.02768782
105;98;LYS1;132.0;substation;transmission;False;1484;Lysekil;Lysekil;11.4235;58.3379;110;8261317.424352516
106;99;LYS2;132.0;substation;transmission;False;1484;Lysekil;Lysekil;11.4667;58.3283;9;314770004.25818807
107;100;TAN1;132.0;substation;transmission;False;1435;Tanum;Tanum;11.3765;58.7592;14;64943075.67310402
108;101;TAN2;132.0;substation;transmission;False;1435;Tanum;Tanum;11.3433;58.7183;15;150696362.59860846
109;102;TAN3;132.0;substation;transmission;False;1435;Tanum;Tanum;11.4414;58.604;7;314866110.10487854
110;103;TAN4;132.0;substation;transmission;False;1435;Tanum;Tanum;11.4003;58.7174;8;129457814.1835975
111;104;STR1;132.0;substation;transmission;False;1486;Strömstad;Stromstad;11.3968;58.8787;12;156325200.6827882
112;105;STR2;132.0;substation;transmission;False;1486;Strömstad;Stromstad;11.3103;58.9446;13;326294498.0745295
113;106;STR3;132.0;substation;transmission;False;1486;Strömstad;Stromstad;11.3326;58.8873;11;111681930.56928158
114;107;GOT1;132.0;substation;transmission;False;1471;Götene;Gotene;13.4799;58.5403;81;171170991.3832856
115;108;GOT2;132.0;substation;transmission;False;1471;Götene;Gotene;13.326;58.4998;85;120922771.52824521
116;109;GOT3;132.0;substation;transmission;False;1471;Götene;Gotene;13.2848;58.4975;68;98618796.40674438
117;110;GOT4;132.0;substation;transmission;False;1471;Götene;Gotene;13.4352;58.6333;86;91818670.68251207
