hour;home;h6;h3;h1
1;0.715617715617716;0.983568075117371;0.983568075117371;0.976689976689977
2;0.722610722610723;0.988262910798122;0.988262910798122;0.981351981351981
3;0.722610722610723;0.995305164319249;0.995305164319249;0.988344988344988
4;0.727272727272727;0.995305164319249;0.995305164319249;0.988344988344988
5;0.724941724941725;0.992957746478873;0.992957746478873;0.986013986013986
6;0.724941724941725;0.992957746478873;0.995305164319249;0.988344988344988
7;0.722610722610723;0.988262910798122;0.990610328638498;0.983682983682984
8;0.722610722610723;0.985915492957746;0.988262910798122;0.981351981351981
9;0.713286713286713;0.962441314553991;0.964788732394366;0.96037296037296
10;0.68997668997669;0.927230046948357;0.929577464788732;0.937062937062937
11;0.655011655011655;0.842723004694836;0.854460093896714;0.876456876456876
12;0.592074592074592;0.755868544600939;0.786384976525822;0.82051282051282
13;0.571095571095571;0.694835680751174;0.737089201877934;0.804195804195804
14;0.557109557109557;0.650234741784038;0.720657276995305;0.792540792540793
15;0.573426573426573;0.645539906103286;0.723004694835681;0.785547785547786
16;0.599067599067599;0.654929577464789;0.732394366197183;0.801864801864802
17;0.631701631701632;0.678403755868545;0.76056338028169;0.827505827505827
18;0.638694638694639;0.708920187793427;0.78169014084507;0.801864801864802
19;0.662004662004662;0.741784037558685;0.784037558685446;0.815850815850816
20;0.687645687645688;0.838028169014085;0.868544600938967;0.897435897435897
21;0.727272727272727;0.896713615023474;0.910798122065728;0.916083916083916
22;0.752913752913753;0.950704225352113;0.957746478873239;0.953379953379953
23;0.764568764568765;0.983568075117371;0.985915492957746;0.981351981351981
24;0.773892773892774;0.981220657276995;0.981220657276995;0.974358974358974
25;0.776223776223776;0.992957746478873;0.992957746478873;0.986013986013986
26;0.778554778554779;0.995305164319249;0.995305164319249;0.988344988344988
27;0.776223776223776;0.992957746478873;0.992957746478873;0.986013986013986
28;0.780885780885781;0.992957746478873;0.992957746478873;0.986013986013986
29;0.780885780885781;0.992957746478873;0.995305164319249;0.988344988344988
30;0.764568764568765;0.974178403755869;0.976525821596244;0.96969696969697
31;0.701631701631702;0.889671361502347;0.894366197183099;0.888111888111888
32;0.575757575757576;0.769953051643192;0.779342723004695;0.780885780885781
33;0.428904428904429;0.753521126760563;0.795774647887324;0.808857808857809
34;0.393939393939394;0.786384976525822;0.854460093896714;0.888111888111888
35;0.365967365967366;0.751173708920188;0.828638497652582;0.867132867132867
36;0.375291375291375;0.730046948356808;0.807511737089202;0.850815850815851
37;0.377622377622378;0.708920187793427;0.772300469483568;0.794871794871795
38;0.382284382284382;0.706572769953052;0.7981220657277;0.848484848484849
39;0.370629370629371;0.694835680751174;0.788732394366197;0.841491841491842
40;0.405594405594406;0.654929577464789;0.744131455399061;0.7995337995338
41;0.44988344988345;0.563380281690141;0.617370892018779;0.664335664335664
42;0.522144522144522;0.598591549295775;0.636150234741784;0.687645687645688
43;0.608391608391608;0.687793427230047;0.723004694835681;0.769230769230769
44;0.666666666666667;0.795774647887324;0.830985915492958;0.876456876456876
45;0.701631701631702;0.859154929577465;0.892018779342723;0.909090909090909
46;0.745920745920746;0.936619718309859;0.943661971830986;0.948717948717949
47;0.757575757575758;0.967136150234742;0.969483568075117;0.965034965034965
48;0.769230769230769;0.981220657276995;0.983568075117371;0.976689976689977
49;0.776223776223776;0.990610328638498;0.992957746478873;0.986013986013986
50;0.776223776223776;0.995305164319249;0.997652582159624;0.990675990675991
51;0.776223776223776;0.990610328638498;0.992957746478873;0.986013986013986
52;0.783216783216783;0.990610328638498;0.992957746478873;0.986013986013986
53;0.783216783216783;0.995305164319249;0.995305164319249;0.988344988344988
54;0.764568764568765;0.967136150234742;0.969483568075117;0.962703962703963
55;0.710955710955711;0.896713615023474;0.901408450704225;0.895104895104895
56;0.573426573426573;0.755868544600939;0.769953051643192;0.773892773892774
57;0.456876456876457;0.748826291079812;0.800469483568075;0.825174825174825
58;0.398601398601399;0.76056338028169;0.833333333333333;0.878787878787879
59;0.398601398601399;0.748826291079812;0.835680751173709;0.874125874125874
60;0.377622377622378;0.723004694835681;0.81924882629108;0.857808857808858
61;0.382284382284382;0.71830985915493;0.805164319248826;0.864801864801865
62;0.377622377622378;0.699530516431925;0.786384976525822;0.825174825174825
63;0.403263403263403;0.699530516431925;0.78169014084507;0.811188811188811
64;0.421911421911422;0.68075117370892;0.753521126760563;0.797202797202797
65;0.501165501165501;0.626760563380282;0.685446009389671;0.731934731934732
66;0.585081585081585;0.629107981220657;0.671361502347418;0.722610722610723
67;0.622377622377622;0.699530516431925;0.741784037558685;0.801864801864802
68;0.65967365967366;0.776995305164319;0.816901408450704;0.874125874125874
69;0.708624708624709;0.845070422535211;0.877934272300469;0.906759906759907
70;0.745920745920746;0.901408450704225;0.924882629107981;0.925407925407925
71;0.776223776223776;0.962441314553991;0.969483568075117;0.962703962703963
72;0.79020979020979;0.976525821596244;0.97887323943662;0.972027972027972
73;0.797202797202797;0.997652582159624;1.0;0.993006993006993
74;0.797202797202797;0.995305164319249;0.995305164319249;0.988344988344988
75;0.801864801864802;0.995305164319249;0.995305164319249;0.988344988344988
76;0.7995337995338;0.997652582159624;0.997652582159624;0.990675990675991
77;0.7995337995338;0.997652582159624;0.997652582159624;0.990675990675991
78;0.785547785547786;0.964788732394366;0.967136150234742;0.96037296037296
79;0.715617715617716;0.887323943661972;0.896713615023474;0.892773892773893
80;0.592074592074592;0.755868544600939;0.772300469483568;0.780885780885781
81;0.463869463869464;0.746478873239437;0.805164319248826;0.82983682983683
82;0.398601398601399;0.741784037558685;0.826291079812207;0.850815850815851
