hour;SE3;NO1;DK1
1;4.72207E-06;17.69200695;4.23889E-06
2;4.48393E-06;17.69200694;4.05215E-06
3;4.46494E-06;17.69200694;4.036E-06
4;4.6524E-06;17.69200694;4.22002E-06
5;5.45633E-06;17.69200695;4.99571E-06
6;1.0293E-05;17.69200696;9.7447E-06
7;1.73094E-05;17.69200697;1.4956E-05
8;0.000235914;17.69200697;0.000232488
9;11.98019885;17.69200697;0.000790419
10;13.08870948;17.69200698;0.000792499
11;13.09133209;17.69200698;0.00079318
12;13.09395221;17.69200698;0.000793768
13;13.0965695;17.69200699;0.000794678
14;13.09656677;17.69200698;0.000794277
15;13.0965678;17.69200699;0.000794918
16;13.09656699;17.69200699;0.000794942
17;13.09656788;17.69200699;0.000795817
18;13.09656729;17.69200699;0.000795207
19;13.09657019;17.69200699;0.000795753
20;13.09656411;17.69200698;0.000792371
21;13.09656333;17.69200698;0.000762686
22;12.81796221;17.69200698;6.22724E-05
23;12.22099784;17.69200697;5.94429E-05
24;1.81651E-05;17.69200696;1.68391E-05
25;8.64107E-06;17.69200696;7.95896E-06
26;6.05515E-06;17.69200696;5.57001E-06
27;5.5931E-06;17.69200695;5.18863E-06
28;5.39479E-06;17.69200695;5.01999E-06
29;7.26183E-06;17.69200695;6.8961E-06
30;6.07018E-05;17.69200697;5.98126E-05
31;15.94463324;17.69200698;15.94463216
32;17.24654453;17.69200699;17.08968175
33;17.24999841;17.69200699;17.08968255
34;17.26057258;17.69200699;17.08968246
35;17.26055871;17.69200699;17.08966425
36;17.26035679;17.69200699;17.08946966
37;17.26080441;17.69200699;17.08990677
38;17.26058091;17.69200699;17.08968572
39;17.26058045;17.69200699;17.08968521
40;17.2605811;17.69200699;17.08968641
41;17.26082769;17.69200699;17.10656889
42;17.26081265;17.69200699;17.08991512
43;17.18977024;17.69200698;17.08968371
44;16.26099486;17.69200698;16.26099464
45;15.63044193;17.69200698;15.63043977
46;12.22099486;17.69200697;11.98019921
47;12.22099864;17.69200697;11.98019791
48;12.22099885;17.69200695;11.98019676
49;12.22099759;17.69200695;11.98019375
50;12.22099899;17.69200694;0.000246139
51;12.22099903;17.69200694;0.000167154
52;12.22099904;17.69200694;11.98019468
53;12.22099975;17.69200695;11.98019785
54;15.47570746;17.69200696;11.98020748
55;17.32606936;17.69200698;17.15454367
56;17.34340585;17.692007;17.17169383
57;17.34340586;17.69200699;17.17169414
58;17.34340621;17.69200699;17.1716943
59;17.34340571;17.69200699;17.17169188
60;17.34340701;17.692007;17.17169615
61;17.34340615;17.69200699;12.22099898
62;17.3434065;17.692007;17.17169536
63;17.34340622;17.692007;17.17169593
64;17.34340705;17.692007;17.1854492
65;17.34340718;17.692007;17.18888808
